,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
41,/property/sunway-spk/sale-8270393/,"SPK Damansara, Sunway SPK Damansara, Sunway SPK",4,1520000,"SPK Damansara, Sunway SPK Damansara, Kuala Lumpur ",2398.0,5,4,6850,4,5,4, Kuala Lumpur
43,/property/senai/sale-8428123/,"TAMAN MUHIBAH SALENG ( KULAI ), Senai",4,385000,"JLN JAMBU 34, TAMAN MUHIBAH SALENG ( KULAI ), 81100, Johor ",1080.0,4,3,1735,4,5,4, Johor
44,/property/cheras/m-vertica/sale-7224480/,"M Vertica, Taman Maluri, Cheras",2,434546,"Jalan Cheras, Taman Maluri, 56000, Kuala Lumpur ",850.0,3,2,1958,-,-,2, Kuala Lumpur
45,/property/kepong/residensi-ava-kiara-bay/sale-8428061/,"Residensi Ava @ Kiara Bay, Taman Metropolitan Kepong, Kepong",2,567000,"Jalan Benteng Utama, Taman Metropolitan Kepong, 52100, Kuala Lumpur ",1285.0,4,2,2555,-,3,4, Kuala Lumpur
46,/property/johor-bahru/sale-8428066/,"La Garden, Johor Bahru",4,550000,"Jalan Jaya Putra 5, Mount Austin, La Garden, 81100, Johor ",2009.0,4,4,2479,4,5,4, Johor
47,/property/johor-bahru/sale-8423690/,"Setia Eco Cascadia, Johor Bahru",4,799000,"Jalan Eco Cascadia 1/x, Setia Eco Cascadia, Setia Eco Cascadia, 81100, Johor ",2683.0,5,6,3601,4,5,1, Johor
48,/property/kepong/residensi-ava-kiara-bay/sale-8428061/,"Residensi Ava @ Kiara Bay, Taman Metropolitan Kepong, Kepong",2,567000,"Jalan Benteng Utama, Taman Metropolitan Kepong, 52100, Kuala Lumpur ",1285.0,4,2,2555,-,3,4, Kuala Lumpur
49,/property/johor-bahru/sale-8428066/,"La Garden, Johor Bahru",4,550000,"Jalan Jaya Putra 5, Mount Austin, La Garden, 81100, Johor ",2009.0,4,4,2479,4,5,4, Johor
50,/property/johor-bahru/sale-8423690/,"Setia Eco Cascadia, Johor Bahru",4,799000,"Jalan Eco Cascadia 1/x, Setia Eco Cascadia, Setia Eco Cascadia, 81100, Johor ",2683.0,5,6,3601,4,5,1, Johor
51,/new-property/property/bandar-sri-damansara/ativo-suites-damansara-avenue/new-5688/,Ativo Suites @ Damansara Avenue,2,0,"Damansara Avenue, Bandar Sri Damansara, Selangor ",998.5,2,1 - 3,0,2,-,-, Selangor
