,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
603,/new-property/property/subang-jaya/subang-jaya-city-centre-sjcc-lot-15/new-5559/,Subang Jaya City Centre SJCC : Lot 15,2,0,"Subang Jaya, Selangor ",812.5,1,1 - 2,2762,4,-,-, Selangor
605,/property/tanjong-tokong/the-tamarind/sale-8447337/,"The Tamarind, Seri Tanjung Pinang, Tanjong Tokong",2,1490000,"Jalan Seri Tg Pinang, Seri Tanjung Pinang, 11200, Penang ",1372.0,3,2,6715,-,-,1, Penang
606,/new-property/property/rawang/m-aruna/new-5550/,M Aruna,4,0,"M ARUNA, Rawang, Selangor ",1746.0,0,0,2479,4,-,-, Selangor
607,/property/semenyih/sale-7762729/,"eco majestic tenderfields, Semenyih",3,1500000,"jalan eco majestic 2/1B, eco majestic tenderfields, 43500, Selangor ",3200.0,5,6,6760,4,5,2, Selangor
609,/property/tanjong-tokong/the-tamarind/sale-7708924/,"The Tamarind, Seri Tanjung Pinang, Tanjong Tokong",2,1230000,"Jalan Seri Tg Pinang, Seri Tanjung Pinang, 11200, Penang ",1241.0,3,2,5543,4,5,4, Penang
610,/new-property/property/masai/meridin-bayvue-sierra-perdana/new-4134/,Meridin Bayvue @ Sierra Perdana,2,0,"Iskandar Malaysia, Masai, Johor ",1173.0,3,2+,1911,4,-,-, Johor
612,/property/klcc/hampshire-place/sale-6668839/,"Hampshire Place, Hampshire Park, KLCC",2,1400000,"Persiaran Hampshire, Hampshire Park, 50450, Kuala Lumpur ",1400.0,3,2,6310,4,5,1, Kuala Lumpur
613,/property/kuchai-lama/gen-kl/sale-8447292/,"GenKL, Kuchai Lama",2,1100000,"Jalan Kuchai Lama, Taman Lien Hoe, Kuchai Lama, 58100, Kuala Lumpur ",1574.0,5,4,4958,4,5,4, Kuala Lumpur
614,/new-property/property/pasir-gudang/meridin-east/new-5329/,Meridin East,4,0,"Iskandar Malaysia, Pasir Gudang, Johor ",1827.5,4,0 - 3,1827,4,-,-, Johor
615,/property/bandar-kinrara/sale-7039717/,"Rimbun Kinrara Rimbun2 BK7A, Bandar Kinrara",4,1080000,"Rimbun Bandar Kinrara Jalan BK 7A/2 Puchong, Rimbun Kinrara Rimbun2 BK7A, 47180, Selangor ",2034.0,4,3,4867,4,5,2, Selangor
616,/property/kuchai-lama/gen-kl/sale-8447273/,"GenKL, Kuchai Lama",2,1080000,"Jalan Kuchai Lama, Taman Lien Hoe, Kuchai Lama, 58100, Kuala Lumpur ",1551.0,4,4,4867,4,5,4, Kuala Lumpur
618,/property/seremban/sale-7333905/,"Semi D Seremban 2 @ Hill Top Living, Seremban",3,917000,"Semi D Seremban 2 @ Hill Top Living, Negeri Sembilan ",3528.0,6,5,4133,4,5,-, Negeri Sembilan
619,/property/sungai-besi/sale-7234493/,"Meadow LAKE FIELDS/LAKE FIELDS, Sungai Besi",4,1100000,"LAKE FIELD,MEADOWS, JALAN TASIK DAMAI,TAMAN TASIK DAMAI,JALAN TASIK,SG BESI, KL, Meadow LAKE FIELDS/LAKE FIELDS, 57100, Kuala Lumpur ",2600.0,5,4,4958,4,3,1, Kuala Lumpur
621,/property/kl-sentral/the-sentral-residences/sale-8182295/,"The Sentral Residences, KL Sentral",2,1400000,"Jalan Stesen Sentral 2, KL Sentral, 50470, Kuala Lumpur ",1119.0,1,2,6310,4,5,1, Kuala Lumpur
622,/property/kl-sentral/the-sentral-residences/sale-8376058/,"The Sentral Residences, KL Sentral",2,1780000,"Jalan Stesen Sentral 2, KL Sentral, 50470, Kuala Lumpur ",1485.0,2,3,8022,4,5,1, Kuala Lumpur
623,/property/kl-sentral/suasana-sentral-loft/sale-5296837/,"Suasana Sentral Loft, KL Sentral",2,1490000,"9, Jalan Stesen Sentral 5, KL Sentral, 50450, Kuala Lumpur ",1584.0,3,3,6715,4,5,1, Kuala Lumpur
624,/property/kl-sentral/suasana-sentral-loft/sale-5293944/,"Suasana Sentral Loft, KL Sentral",2,880000,"9, Jalan Stesen Sentral 5, KL Sentral, 50450, Kuala Lumpur ",913.0,2,1,3966,4,5,1, Kuala Lumpur
627,/new-property/property/seremban/bandar-ainsdale-redup/new-5259/,Bandar Ainsdale : Redup,4,0,"Bandar Ainsdale, Seremban, Negeri Sembilan ",2853.5,1,0,2956,4,-,-, Negeri Sembilan
630,/new-property/property/seremban/castilla-chemara-hills/new-5140/,Castilla : Chemara Hills,3,0,"Chemara Hills, Seremban, Negeri Sembilan ",4747.5,1,6,6260,4,-,-, Negeri Sembilan
631,/property/bukit-jalil/the-park-sky-residence/sale-8442269/,"The Park Sky Residence, Bukit Jalil",2,1500000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ",1565.0,4,3,6760,-,5,4, Kuala Lumpur
632,/property/bukit-jalil/the-park-sky-residence/sale-8441561/,"The Park Sky Residence, Bukit Jalil",2,800000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ",953.0,2,2,3605,-,5,4, Kuala Lumpur
633,/property/bukit-jalil/the-park-sky-residence/sale-8441559/,"The Park Sky Residence, Bukit Jalil",2,900000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ",1044.0,3,2,4056,-,5,4, Kuala Lumpur
634,/new-property/property/kluang/elynix-impiana-damai/new-5633/,Elynix @ Impiana Damai,4,0,"Bandar Seri Impian, Kluang, Johor ",2575.0,4,4,2339,4,-,-, Johor
635,/property/subang-jaya/the-regina/sale-5388199/,"The Regina, Subang Jaya",2,550000,"Jalan Subang Permai, Subang Jaya, 47500, Selangor ",1248.0,4,3,2479,4,3,4, Selangor
636,/property/kuchai-lama/gen-kl/sale-8447110/,"GenKL, Kuchai Lama",2,800000,"Jalan Kuchai Lama, Taman Lien Hoe, Kuchai Lama, 58100, Kuala Lumpur ",1150.0,3,2,3605,4,5,4, Kuala Lumpur
638,/new-property/property/sungai-buloh/hampton-residences/new-5975/,Hampton Residences,4,0,"Bandar Seri Coalfields, Sungai Buloh, Selangor ",2757.0,4,5,4363,4,-,-, Selangor
639,/property/bangsar/sale-8203086/,"Bangsar Baru, Bangsar",4,1700000,"Bangsar Baru, 59100, Kuala Lumpur ",2000.0,4,3,7662,4,5,4, Kuala Lumpur
640,/property/bandar-utama/sale-7464471/,"Jln BU7/2, Petaling Jaya, Bandar Utama",4,1300000,"Jalan BU7/2, Bandar Utama, Jln BU7/2, Petaling Jaya, 47800, Selangor ",2300.0,4,3,5859,4,5,4, Selangor
641,/property/semenyih/sale-6193646/,"Setia Ecohill, Stagnia, Semenyih",3,890000,"Jalan EcoHill 3/2, Setia Ecohill, Stagnia, 43500, Selangor ",2800.0,4,5,4011,4,5,2, Selangor
642,/property/semenyih/sale-5827349/,"Taman Pelangi Semenyih 2, setia ecohill, Semenyih",3,670000,"semenyih, Taman Pelangi Semenyih 2, setia ecohill, 43500, Selangor ",2480.0,5,4,3020,4,5,4, Selangor
643,/property/setia-eco-park/sale-4912507/,Setia Eco Park,1,2300000,"Jalan Setia Tropika U13, Setia Eco Park, 40170, Selangor ",3600.0,5,6,10366,4,5,1, Selangor
645,/property/gelang-patah/sale-8411936/,"Taman Nusantara Prima, Gelang Patah",4,535000,"Jalan Prima 3, Taman Nusantara Prima, Johor ",2000.0,4,3,2411,4,5,2, Johor
646,/property/bandar-kinrara/sale-8430573/,"Kinrara Residences, Bandar Kinrara",3,1800000,"Palmiera @ Kinrara Residence, Jalan DU 3/5, Taman Damai Utama, Puchong, Selangor, Kinrara Residences, 47180, Selangor ",3138.0,5,5,8112,4,-,-, Selangor
647,/property/damansara-kim/sale-7559914/,"Petaling Jaya, Damansara Kim",4,2380000,"Petaling Jaya, 47400, Selangor ",3529.0,5,4,10726,4,5,4, Selangor
648,/property/damansara-jaya/sale-6794839/,"Jalan SS22A/6, Petaling Jaya, Damansara Jaya",3,2600000,"Jalan SS22A/6, Jalan SS22A/6, Petaling Jaya, 47400, Selangor ",4400.0,7,7,11718,4,5,4, Selangor
649,/property/skudai/sale-8474585/,"Skudai Johor Bahru Taman Damai Jaya, Skudai",4,220000,"Jalan Makmur 1, Skudai Johor Bahru Taman Damai Jaya, 81300, Johor ",770.0,2,2,992,4,5,2, Johor
650,/property/klcc/star-residences-one/sale-8446969/,"Star Residences One, KLCC",2,1100000,"Jalan Yap Kwan Seng, KLCC, Kuala Lumpur ",711.0,2,1,4958,-,5,4, Kuala Lumpur
651,/new-property/property/sepang/ayden/new-5670/,Ayden,4,0,"Warisan Puteri, Sepang, Selangor ",1996.5,3,3,2068,4,-,-, Selangor
653,/property/klcc/suria-stonor/sale-5343436/,"Suria Stonor, KLCC",2,2150000,"Lorong Stonor, KLCC, 50450, Kuala Lumpur ",3300.0,5,6,9690,4,5,4, Kuala Lumpur
654,/new-property/property/seremban/adira-terraces-ara-sendayan/new-5538/,Adira Terraces @ Ara Sendayan,4,0,"Ara Sendayan, Seremban, Negeri Sembilan ",2789.0,1,2,3015,4,-,-, Negeri Sembilan
655,/property/simpang-ampat/sale-8463874/,"Eco Meadows, Simpang Ampat",4,840000,"Taman Eco Meadow, Eco Meadows, 14100, Penang ",1980.0,4,3,3786,4,5,2, Penang
656,/property/georgetown/sandilands/sale-8463434/,"Sandilands, George Town, Georgetown",2,800000,"Jalan C.y Chong, George Town, 10300, Penang ",1338.0,3,3,3605,4,5,2, Penang
657,/property/johor-bahru/sale-7456794/,"Taman Setia Eco Cascadia, Aspen, Johor Bahru",4,750000,"Jalan Eco Cascadia, ,Taman Setia Eco Cascadia, Taman Setia Eco Cascadia, Aspen, 81100, Johor ",2956.0,6,7,3380,4,5,2, Johor
658,/new-property/property/kluang/elysia-impiana-damai/new-5634/,Elysia @ Impiana Damai,4,0,"Bandar Seri Impian, Kluang, Johor ",2349.0,4,4,1955,4,-,-, Johor
659,/property/taman-melawati/sale-7458035/,"Sunway Montana, Desa Melawati, Taman Melawati",4,1480000,"Sunway Montana, Desa Melawati, Kuala Lumpur ",2400.0,0,0,6670,-,-,-, Kuala Lumpur
660,/property/sungai-besi/sale-8286202/,"REED LAKE FIELDS/LAKEFIELDS, Sungai Besi",4,1200000,"LAKE FIELD,JALAN TASIK DAMAI, TAMAN TASIK IMPIAN SG BESI, REED LAKE FIELDS/LAKEFIELDS, 57100, Kuala Lumpur ",3216.0,5,6,5408,4,3,2, Kuala Lumpur
661,/property/seremban/sale-8425862/,"Rasah Jaya Permai Seremban, Seremban",4,350000,"Rasah Jaya Permai Seremban, 70100, Negeri Sembilan ",1540.0,5,2,1577,4,5,2, Negeri Sembilan
662,/new-property/property/iskandar-puteri-nusajaya/estuari-gardens/new-5016/,Estuari Gardens,4,0,"Estuari Gardens, Iskandar Puteri (Nusajaya), Johor ",3244.0,1,5 - 6,6287,4,-,-, Johor
663,/property/cyberjaya/lake-view-residency/sale-7051319/,"Lake View Residency, Cyberjaya",2,388000,"Jalan Cyber Suria, Cyberjaya, 63000, Cyberjaya, 63000, Selangor ",1010.0,3,2,1749,4,5,4, Selangor
664,/property/johor-bahru/sale-8364764/,"Permas Jaya, Masai, Megah Ria, Johor Bahru, Johor Bahru",4,499000,"Permas Jaya 13, Masai, Plentong, Megah Ria, Rinting, Seri Alam, Molek, Johor Bahru, Permas Jaya, Masai, Megah Ria, Johor Bahru, 81700, Johor ",1800.0,4,3,2249,4,5,2, Johor
665,/property/tebrau/lake-view-suites/sale-8425730/,"Lake View Suites, Taman Austin Perdana, Tebrau",2,198000,"Jalan Austin Perdana 1, Taman Austin Perdana, 81100, Johor ",653.0,2,2,892,2,5,1, Johor
666,/property/semenyih/sale-7487443/,"EcoMajestic Ecohill Cradleton 22x70, Semenyih",4,600000,"Jalan Eco Majestic 1, EcoMajestic Ecohill Cradleton 22x70, 43500, Selangor ",2259.0,5,4,2704,4,5,-, Selangor
667,/property/kota-kemuning/sale-8244524/,"Kota Kemuning Shah Alam , Kota Kemuning",3,1700000,"Kota Kemuning, Kota Kemuning Shah Alam , 40460, Selangor ",4654.0,7,9,7662,4,3,2, Selangor
668,/property/bayan-lepas/tree-sparina/sale-8425586/,"Tree Sparina, Bayan Lepas",2,530000,"Jalan Sungai Tiram 11, Bayan Lepas, 11900, Penang ",1130.0,3,2,2389,4,5,-, Penang
670,/property/tropicana/casa-tropicana/sale-8425462/,"Casa Tropicana, Tropicana",2,650000,"Persiaran Tropicana, Tropicana, 47301, Selangor ",1330.0,3,2,2929,-,-,4, Selangor
672,/property/tropicana/casa-tropicana/sale-8425462/,"Casa Tropicana, Tropicana",2,650000,"Persiaran Tropicana, Tropicana, 47301, Selangor ",1330.0,3,2,2929,-,-,4, Selangor
674,/property/johor-bahru/sale-8163223/,"Tebrau Taman Eco Spring Bradford, Johor Bahru",4,1300000,"Jalan Ekoflora 1, Tebrau Taman Eco Spring Bradford, 81100, Johor ",2860.0,5,5,5859,4,5,2, Johor
675,/new-property/property/nilai/davina-tiara-sendayan/new-5971/,Davina@Tiara Sendayan,4,0,"Tiara Sendayan, Nilai, Negeri Sembilan ",2410.5,4,3,1983,4,-,-, Negeri Sembilan
676,/property/johor-bahru/arc-austin-hills/sale-8155758/,"ARC @ Austin Hills, Taman Daya, Johor Bahru",2,318000,"Jalan Sagu 36, Taman Daya, 81100, Johor ",650.0,2,2,1433,2,5,1, Johor
677,/property/setia-indah/sale-6894569/,"Taman Seri Austin North @ Mount Austin , Setia Indah",4,988000,"Jalan Seri Austin 5/1 Taman Seri Austin , Taman Seri Austin North @ Mount Austin , 81100, Johor ",3300.0,6,5,4453,4,5,2, Johor
678,/new-property/property/seremban/hijayu-aman-melia-i/new-5951/,Hijayu Aman (Melia I),4,0,"Bandar Sri Sendayan, Seremban, Negeri Sembilan ",2475.5,4,3,2744,4,-,-, Negeri Sembilan
680,/property/ulu-tiram/sale-8283992/,"Taman Pelangi Indah, Ulu Tiram",4,680000,"Jaaln Ayu, Taman Pelangi Indah, 81800, Johor ",1920.0,4,3,3065,4,5,4, Johor
681,/property/ulu-tiram/sale-8272327/,"Taman Pelangi Indah Jalan Pesona, Ulu Tiram",4,580000,"Jalan Pesona, Taman Pelangi Indah Jalan Pesona, 81800, Johor ",1760.0,4,3,2614,4,5,4, Johor
682,/new-property/property/cheras/you-city-iii-you-city-3/new-5970/,YOU CITY III (YOU CITY 3),2,0,"You City, Cheras, Selangor ",855.5,2,2 - 3,1713,2,-,-, Selangor
683,/property/johor-bahru/sale-7970443/,"Johor Bahru Mount Seri Austin, Johor Bahru",4,518000,"Jalan Seri Austin 1/1, Johor Bahru Mount Seri Austin, 81100, Johor ",1800.0,4,3,2335,4,5,4, Johor
684,/property/ampang/sale-5648266/,"Tijani Ukay, Ukay Perdana, Ampang",1,1900000,"Ampang, Tijani Ukay, Ukay Perdana, 68000, Selangor ",3778.0,6,6,8563,4,3,-, Selangor
685,/property/cyberjaya/sale-8180382/,"MIRAGE BY THE LAKE @ PERDANA LAKEVIEW EAST, Cyberjaya",4,850000,"CYBERJAYA CITY CENTRE, PERSIARAN LAKESIDE, JALAN LAKEFRONT, CYBERJAYA CITY CENTRE, CYBERJAYA, SELANGOR, MIRAGE BY THE LAKE @ PERDANA LAKEVIEW EAST, 63000, Selangor ",2690.0,5,4,3831,4,5,-, Selangor
686,/new-property/property/seri-kembangan/meta-city/new-5952/,Meta City,2,0,"Seri Kembangan, Selangor ",657.0,2,1 - 2,1352,2,-,-, Selangor
687,/property/johor-bahru/sale-6607896/,"Nusa Duta , Johor Bahru",4,860000,"Jalan Duta x, Nusajaya. Bukit Indah. Nusa Idaman. Nusa sentral, Nusa Duta , 81110, Johor ",2593.0,5,3,3876,4,5,1, Johor
688,/property/mont-kiara/mont-kiara-aman/sale-7931595/,"Mont Kiara Aman, Mont Kiara",2,1380000,"Jalan Kiara 2, Mont Kiara, 50480, Kuala Lumpur ",2163.0,4,4,6219,-,5,1, Kuala Lumpur
689,/property/klcc/star-residences-one/sale-8446698/,"Star Residences One, KLCC",2,1255000,"Jalan Yap Kwan Seng, KLCC, Kuala Lumpur ",625.0,1,1,5656,2,5,4, Kuala Lumpur
690,/property/iskandar-puteri-nusajaya/sale-8425126/,"The Gateway, Horizon Hills, Iskandar Puteri (Nusajaya)",4,720000,"Jalan Ambang, The Gateway, Horizon Hills, 79100, Johor ",1540.0,5,3,3245,4,5,1, Johor
691,/property/johor-bahru/sale-7743849/,"Taman Uda Utama, Johor Bahru",4,648000,"Jalan Uda Utama, Taman Uda Utama, 81200, Johor ",1540.0,4,3,2920,4,5,4, Johor
693,/property/mont-kiara/arcoris-residences/sale-8140418/,"Arcoris Residences, Mont Kiara",2,1190000,"Jalan Kiara 4, Mont Kiara, 50480, Kuala Lumpur ",886.0,2,2,5363,-,-,1, Kuala Lumpur
695,/property/rawang/sale-8315270/,"M Residence 1 Corus Bandar Tasik Puteri, Rawang",3,730000,"M Residence 1 Corus Bandar Tasik Puteri, 48000, Selangor ",3248.0,5,5,3290,4,5,3, Selangor
696,/property/dutamas/concerto-north-kiara/sale-5311755/,"Concerto North Kiara, Dutamas",2,1040000,"Jalan Dutamas Melati, Dutamas, 52100, Kuala Lumpur ",1875.0,4,4,4687,4,5,4, Kuala Lumpur
697,/property/klcc/one-kl/sale-7494390/,"One KL, KLCC",2,3130000,"Jalan Pinang, KLCC, 50450, Kuala Lumpur ",3285.0,4,5,14106,4,5,4, Kuala Lumpur
700,/property/klcc/one-kl/sale-6969241/,"One KL, KLCC",2,3300000,"Jalan Pinang, KLCC, 50450, Kuala Lumpur ",3285.0,4,5,14873,4,5,4, Kuala Lumpur
701,/property/rawang/sale-7584037/,"M Residence 1 Rawang Bandar Tasik Puteri, Rawang",4,520000,"M Residence 1 Rawang Bandar Tasik Puteri, 48000, Selangor ",2380.0,5,5,2344,4,5,2, Selangor
702,/new-property/property/balakong/traders-garden/new-5948/,Traders Garden,2,0,"Dataran Perniagaan Cheras, Balakong, Selangor ",731.5,2,2,1244,4,-,-, Selangor
703,/property/sungai-besi/the-vyne/sale-8399905/,"The Vyne, Taman Sungai Besi, Sungai Besi",2,488000,"Jalan 6/108D, Taman Sungai Besi, 57100, Kuala Lumpur ",855.0,2,2,2199,4,3,1, Kuala Lumpur
704,/property/rawang/sale-7817694/,"Kota Emerald Jasper Anggun Rawang, Rawang",3,840000,"Kota Emerald Jasper Anggun Rawang, 48000, Selangor ",3601.0,6,6,3786,4,5,2, Selangor
705,/property/rawang/sale-7693756/,"Regency Parc Bandar Country Homes, Rawang",3,690000,"Regency Parc Bandar Country Homes, 48000, Selangor ",3630.0,6,6,3110,4,3,2, Selangor
706,/new-property/property/bangi/lambaian-dua/new-5607/,Lambaian Dua,4,0,"Bangi, Selangor ",1350.5,3,2,2064,4,-,-, Selangor
707,/property/bandar-utama/sale-8446640/,"Bu7, Bandar Utama",4,1300000,"jalan Bu7, Bu7, 47800, Selangor ",2500.0,4,3,5859,4,5,4, Selangor
709,/property/bandar-utama/sale-8320170/,"BU 6, BANDAR UTAMA, Petaling Jaya, Bandar Utama",4,1750000,"BU 6, BANDAR UTAMA, Petaling Jaya, 47800, Selangor ",2300.0,4,4,7887,4,5,-, Selangor
710,/new-property/property/skudai/the-enclave-pulai-springs-resort/new-5938/,The Enclave @ Pulai Springs Resort,3,0,"Skudai, Johor ",4381.0,1,5 - 6,8148,4,-,-, Johor
712,/property/horizon-hills/sale-8007001/,"Horizon Hills, Nusajaya, Iskandar Puteri, Horizon Hills",4,750000,"Horizon Hills, Nusajaya, Iskandar Puteri, 79100, Johor ",2100.0,5,4,3380,4,5,4, Johor
713,/property/kulai/sale-8289982/,"Bandar Putra, Kulai",4,389000,"Jalan Bangau, Bandar Putra, 81000, Johor ",1540.0,4,2,1753,4,5,4, Johor
714,/property/kulai/sale-8173597/,"Bandar Putra, Kulai",4,310000,"Bandar Putra, 81000, Johor ",1800.0,4,2,1397,4,5,2, Johor
716,/property/klcc/mercu-summer-suites/sale-3397182/,"Mercu Summer Suites, KL City, KLCC",2,520000,"Jalan Cendana, KL City, 50250, Kuala Lumpur ",650.0,1,1,2344,4,3,4, Kuala Lumpur
720,/property/kulai/sale-8216862/,"Kelapa Sawit Taman Wawasan, Kulai",4,243000,"Taman Wawasan, Kelapa Sawit Taman Wawasan, 81030, Johor ",1400.0,3,2,1095,4,5,4, Johor
721,/property/puchong/sale-8212832/,Puchong,4,900000,Selangor ,3163.0,5,5,4056,4,3,2, Selangor
722,/property/puchong/sale-8146044/,Puchong,3,1900000,"47140, Selangor ",4616.0,7,7,8563,4,3,2, Selangor
724,/property/mont-kiara/pavilion-hilltop/sale-8107780/,"Pavilion Hilltop, Mont Kiara",2,1490000,"Jalan Kiara, Mont Kiara, 50480, Kuala Lumpur ",1496.0,4,3,6715,-,5,4, Kuala Lumpur
725,/property/permas-jaya/impian-senibong-apartment/sale-8446552/,"Impian Senibong Apartment, Bandar Baru Permas Jaya, Permas Jaya",2,300000,"Jalan Persiaran Senibong, Bandar Baru Permas Jaya, 81750, Johor ",845.0,3,2,1352,2,3,4, Johor
726,/new-property/property/putrajaya/conezion-residences/new-4971/,Conezion Residences,2,0,"IOI Resort City, Putrajaya, Putrajaya ",1029.0,1,2 - 3,2596,4,-,-, Putrajaya
728,/property/iskandar-puteri-nusajaya/sale-7969711/,"Bukit Indah, Serimbun, Iskandar Puteri (Nusajaya)",4,749000,"Bukit Indah, Serimbun, Johor ",1993.0,4,3,3376,-,-,-, Johor
730,/new-property/property/putrajaya/par-3-condominium-townhouse-villa/new-5425/,PAR3 Condominium & Townhouse Villa,2,0,"IOI Resort City, Putrajaya, Putrajaya ",1496.0,1,3,4498,4,-,-, Putrajaya
734,/new-property/property/serdang/the-clio-2-residences/new-5930/,The Clio 2 Residences,2,0,"IOI Resort City, Putrajaya, Serdang, Selangor ",1022.5,3,2,2465,4,-,-, Selangor
735,/property/kl-sentral/suasana-sentral-loft/sale-8338392/,"Suasana Sentral Loft, KL Sentral",2,1995000,"9, Jalan Stesen Sentral 5, KL Sentral, 50450, Kuala Lumpur ",2961.0,6,5,8991,4,5,1, Kuala Lumpur
736,/property/klcc/hampshire-residences/sale-7651451/,"Hampshire Residences, Hampshire Park, KLCC",2,890000,"Persiaran Hampshire, Hampshire Park, 50450, Kuala Lumpur ",753.0,1,1,4011,4,5,1, Kuala Lumpur
741,/property/seri-kembangan/desaminium-rimba/sale-7670517/,"Desaminium Rimba, Taman Desaminium, Seri Kembangan",2,260000,"Jalan Rimba, Taman Desaminium, 43300, Selangor ",1140.0,5,3,1172,4,3,2, Selangor
742,/property/setia-alam/sale-8474437/,"Careya Setia Permai 2, Setia Alam",4,645000,"Jalan Setia Permai U13/42K, Careya Setia Permai 2, 40170, Selangor ",1685.0,4,3,2907,4,5,2, Selangor
743,/property/cyberjaya/lake-view-residency/sale-7945796/,"Lake View Residency, Cyberjaya",2,382500,"Jalan Cyber Suria, Cyberjaya, 63000, Cyberjaya, 63000, Selangor ",1010.0,3,2,1724,4,5,-, Selangor
744,/property/iskandar-puteri-nusajaya/sale-8423987/,"nusa sentral, Iskandar Puteri (Nusajaya)",4,838000,"jalan sentral 23, nusa sentral, 79100, Johor ",3824.0,6,6,3777,4,5,2, Johor
745,/property/bangi/sale-8420717/,"Lambaian Residence, Bangi",3,1150000,"Lambaian Residence, Selangor ",3562.0,6,6,5183,4,5,2, Selangor
746,/property/tebrau/havona/sale-8258286/,"Havona, Taman Mount Austin, Tebrau",2,760000,"Jalan Mutiara Emas Utama, Taman Mount Austin, 81100, Johor ",1244.0,3,2,3425,2,5,-, Johor
747,/new-property/property/putrajaya/the-clio-residences/new-5932/,The Clio Residences,2,0,"IOI Resort City, Putrajaya, Putrajaya ",1211.0,2,2 - 3,3537,4,-,-, Putrajaya
748,/property/johor-bahru/sale-8228993/,Johor Bahru,4,495000,Johor ,1520.0,4,4,2231,-,5,-, Johor
749,/property/kajang/sale-8372229/,"Taman Muhibbah, Kajang, Kajang",4,348000,"Taman Muhibbah, Kajang, Selangor ",1300.0,3,2,1568,4,5,-, Selangor
750,/new-property/property/seremban/barinda-terraces-ara-sendayan/new-5622/,Barinda Terraces @ Ara Sendayan,4,0,"Ara Sendayan, Seremban, Negeri Sembilan ",2610.0,4,4,2924,4,-,-, Negeri Sembilan
751,/property/iskandar-puteri-nusajaya/sale-8423817/,"Taman Bukit Indah - Jalan Indah 1 - Full Loan, Iskandar Puteri (Nusajaya)",4,418000,"Jalan Indah 1, Taman Bukit Indah - Jalan Indah 1 - Full Loan, 79100, Johor ",1400.0,3,2,1884,4,5,2, Johor
752,/property/klcc/marc-residence/sale-7505054/,"Marc Residence, KLCC",2,830000,"No. 3 Jalan Pinang, KLCC, 50450, Kuala Lumpur ",493.0,1,1,3741,-,5,1, Kuala Lumpur
753,/property/tanjong-tokong/andaman-quayside/sale-8423723/,"Andaman Quayside , Tanjung Tokong, Tanjong Tokong",2,2980000,"Lorong Seri Tanjung Pinang, Tanjung Tokong, 11200, Penang ",2828.0,5,3,13430,4,5,4, Penang
754,/new-property/property/mont-kiara/sunway-vivaldi/new-934/,Sunway Vivaldi,2,0,"Mont Kiara, Kuala Lumpur ",3466.0,5,6,12993,2,-,-, Kuala Lumpur
755,/property/mont-kiara/i-zen-kiara-1/sale-8326189/,"i-Zen @ Kiara 1, Mont Kiara",2,820000,"Jalan Kiara, Mont Kiara, Mont Kiara, Kuala Lumpur ",913.0,2,2,3696,4,5,1, Kuala Lumpur
756,/property/desa-park-city/one-central-park/sale-8309864/,"One Central Park, Desa ParkCity",2,1650000,"Jalan Residen 2, Desa Parkcity, 52200, Kuala Lumpur ",1377.0,3,2,7436,4,5,4, Kuala Lumpur
757,/property/bandar-sungai-long/sale-8057203/,Bandar Sungai Long,3,1100000,"Bandar Sungai Long, Selangor ",3800.0,5,5,4958,4,5,4, Selangor
758,/new-property/property/jalan-sultan-ismail/anggun-residences/new-5125/,Anggun Residences,2,0,"Jalan Sultan Ismail, Kuala Lumpur ",1096.0,3,1 - 3,4502,4,-,-, Kuala Lumpur
759,/property/mont-kiara/angkupuri-condominium/sale-7888703/,"Angkupuri Condominium, Mont Kiara",2,750000,"Jalan 1/70C, Mont Kiara, 50480, Kuala Lumpur ",1551.0,4,2,3380,4,5,-, Kuala Lumpur
760,/property/dutamas/solaris-dutamas/sale-7599751/,"Solaris Dutamas, Solaris Dutamas, Dutamas",2,700000,"No 1, Jalan Dutamas 1, Solaris Dutamas, 50480, Kuala Lumpur ",672.0,1,1,3155,4,5,-, Kuala Lumpur
761,/property/dutamas/solaris-dutamas/sale-5107176/,"Solaris Dutamas, Solaris Dutamas, Dutamas",2,1000000,"No 1, Jalan Dutamas 1, Solaris Dutamas, 50480, Kuala Lumpur ",1145.0,2,2,4507,4,5,4, Kuala Lumpur
762,/property/dutamas/solaris-dutamas/sale-4741282/,"Solaris Dutamas, Solaris Dutamas, Dutamas",2,700000,"No 1, Jalan Dutamas 1, Solaris Dutamas, 50480, Kuala Lumpur ",672.0,1,1,3155,2,5,1, Kuala Lumpur
763,/property/mont-kiara/mont-kiara-damai-resort-condominium/sale-4617753/,"Mont Kiara Damai Resort Condominium, Mont Kiara",2,2100000,"Jalan Kiara 2, Mont Kiara, 50480, Kuala Lumpur ",3168.0,6,6,9464,4,4,4, Kuala Lumpur
764,/property/petaling-jaya/sale-8095624/,"SS23, Taman Sea, Petaling Jaya",4,1320000,"SS23, Taman Sea, Selangor ",2400.0,4,3,5949,4,5,4, Selangor
765,/property/desa-park-city/zenia-garden-condo/sale-7583563/,"Zenia Garden Condo, Desa ParkCity",2,1500000,"3, Jalan Residen 2, Desa ParkCity, 52200, Kuala Lumpur ",1400.0,3,2,6760,4,5,4, Kuala Lumpur
